Index,Bacteria/Host species,Download link
Bacteria,Bacteroides sp. 3_1_33FAA,wget https://gmpsdb.cn/api/download/bacteria/4974/download/ -O BACTERIA_Bacteroides_sp._3_1_33FAA.tar.gz
Bacteria,Bacteroides sp. 3_1_40A,wget https://gmpsdb.cn/api/download/bacteria/4975/download/ -O BACTERIA_Bacteroides_sp._3_1_40A.tar.gz
Bacteria,Bacteroides sp. 3_2_5,wget https://gmpsdb.cn/api/download/bacteria/4976/download/ -O BACTERIA_Bacteroides_sp._3_2_5.tar.gz
Bacteria,Bacteroides sp. 4_1_36,wget https://gmpsdb.cn/api/download/bacteria/4977/download/ -O BACTERIA_Bacteroides_sp._4_1_36.tar.gz
Bacteria,Bacteroides sp. 4_3_47FAA,wget https://gmpsdb.cn/api/download/bacteria/4978/download/ -O BACTERIA_Bacteroides_sp._4_3_47FAA.tar.gz
Bacteria,Bacteroides sp. 9_1_42FAA,wget https://gmpsdb.cn/api/download/bacteria/4979/download/ -O BACTERIA_Bacteroides_sp._9_1_42FAA.tar.gz
Bacteria,Bacteroides sp. AM07-16,wget https://gmpsdb.cn/api/download/bacteria/4980/download/ -O BACTERIA_Bacteroides_sp._AM07-16.tar.gz
Bacteria,Bacteroides sp. AM22-3LB,wget https://gmpsdb.cn/api/download/bacteria/4981/download/ -O BACTERIA_Bacteroides_sp._AM22-3LB.tar.gz
Bacteria,Bacteroides sp. D1,wget https://gmpsdb.cn/api/download/bacteria/4982/download/ -O BACTERIA_Bacteroides_sp._D1.tar.gz
Bacteria,Bacteroides sp. D2,wget https://gmpsdb.cn/api/download/bacteria/4983/download/ -O BACTERIA_Bacteroides_sp._D2.tar.gz
Bacteria,Bacteroides sp. D20,wget https://gmpsdb.cn/api/download/bacteria/4984/download/ -O BACTERIA_Bacteroides_sp._D20.tar.gz
Bacteria,Bacteroides sp. D22,wget https://gmpsdb.cn/api/download/bacteria/4985/download/ -O BACTERIA_Bacteroides_sp._D22.tar.gz
Bacteria,Bacteroides sp. OM08-11,wget https://gmpsdb.cn/api/download/bacteria/4986/download/ -O BACTERIA_Bacteroides_sp._OM08-11.tar.gz
Bacteria,Bacteroides stercorirosoris,wget https://gmpsdb.cn/api/download/bacteria/4987/download/ -O BACTERIA_Bacteroides_stercorirosoris.tar.gz
Bacteria,Bacteroides stercoris,wget https://gmpsdb.cn/api/download/bacteria/4988/download/ -O BACTERIA_Bacteroides_stercoris.tar.gz
Bacteria,Bacteroides thetaiotaomicron,wget https://gmpsdb.cn/api/download/bacteria/4989/download/ -O BACTERIA_Bacteroides_thetaiotaomicron.tar.gz
Bacteria,Bacteroides timonensis,wget https://gmpsdb.cn/api/download/bacteria/4990/download/ -O BACTERIA_Bacteroides_timonensis.tar.gz
Bacteria,Bacteroides uniformis,wget https://gmpsdb.cn/api/download/bacteria/4991/download/ -O BACTERIA_Bacteroides_uniformis.tar.gz
Bacteria,Bacteroides xylanisolvens,wget https://gmpsdb.cn/api/download/bacteria/4992/download/ -O BACTERIA_Bacteroides_xylanisolvens.tar.gz
Bacteria,Barnesiella intestinihominis,wget https://gmpsdb.cn/api/download/bacteria/4993/download/ -O BACTERIA_Barnesiella_intestinihominis.tar.gz
